Name,Category,Availability,Quantity,UPC,Price (excl. tax),Price (incl. tax),Tax,Number of reviews,URL
It's Only the Himalayas,Travel,In Stock,19,a22124811bfa8350,45.17,45.17,0.0,0,http://books.toscrape.com/catalogue/category/books/travel_2/index.html/../../../../its-only-the-himalayas_981/index.html,
Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,Travel,In Stock,15,ce60436f52c5ee68,49.43,49.43,0.0,0,http://books.toscrape.com/catalogue/category/books/travel_2/index.html/../../../../full-moon-over-noahs-ark-an-odyssey-to-mount-ararat-and-beyond_811/index.html,
See America: A Celebration of Our National Parks & Treasured Sites,Travel,In Stock,14,f9705c362f070608,48.87,48.87,0.0,0,http://books.toscrape.com/catalogue/category/books/travel_2/index.html/../../../../see-america-a-celebration-of-our-national-parks-treasured-sites_732/index.html,
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,Travel,In Stock,8,1809259a5a5f1d8d,36.94,36.94,0.0,0,http://books.toscrape.com/catalogue/category/books/travel_2/index.html/../../../../vagabonding-an-uncommon-guide-to-the-art-of-long-term-world-travel_552/index.html,
Under the Tuscan Sun,Travel,In Stock,7,a94350ee74deaa07,37.33,37.33,0.0,0,http://books.toscrape.com/catalogue/category/books/travel_2/index.html/../../../../under-the-tuscan-sun_504/index.html,
A Summer In Europe,Travel,In Stock,7,cc1936a9f4e93477,44.34,44.34,0.0,0,http://books.toscrape.com/catalogue/category/books/travel_2/index.html/../../../../a-summer-in-europe_458/index.html,
The Great Railway Bazaar,Travel,In Stock,6,48736df57e7bec9f,30.54,30.54,0.0,0,http://books.toscrape.com/catalogue/category/books/travel_2/index.html/../../../../the-great-railway-bazaar_446/index.html,
A Year in Provence (Provence #1),Travel,In Stock,6,9e60929f521fa280,56.88,56.88,0.0,0,http://books.toscrape.com/catalogue/category/books/travel_2/index.html/../../../../a-year-in-provence-provence-1_421/index.html,
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),Travel,In Stock,3,366a236aa1ea6f07,23.21,23.21,0.0,0,http://books.toscrape.com/catalogue/category/books/travel_2/index.html/../../../../the-road-to-little-dribbling-adventures-of-an-american-in-britain-notes-from-a-small-island-2_277/index.html,
Neither Here nor There: Travels in Europe,Travel,In Stock,3,747cf7fca2ccdbd4,38.95,38.95,0.0,0,http://books.toscrape.com/catalogue/category/books/travel_2/index.html/../../../../neither-here-nor-there-travels-in-europe_198/index.html,
1 000 Places to See Before You Die,Travel,In Stock,1,228ba5e7577e1d49,26.08,26.08,0.0,0,http://books.toscrape.com/catalogue/category/books/travel_2/index.html/../../../../1000-places-to-see-before-you-die_1/index.html,
